titre;techno;
langages;HTML / CSS,PHP,Javascript,JSON,Ajax,SQL,XML,Bash;
Frameworks;Bootstrap,jQuery,Angular JS,Node JS,Three JS,Symphony 2;
Logiciels;Git / GitHub,Photoshop,Illustrator,FileZilla,Edge Animate,Word,Powerpoint;
